iteration,checkpoint,state_mode,samples,root_samples,tree_queries,max_depth,sim_depth,search_epsilon,action_epsilon,backup,value_target,prior_scale,mean_value_prediction,mean_search_backup,residual_mean,residual_stderr,residual_l1,residual_l2,residual_linf,residual_abs_median,residual_abs_p90,residual_abs_p95,root_residual_mean,root_residual_l1,root_residual_l2,root_residual_linf,mean_search_seconds,total_search_seconds
0,/home/tbecker/code/MatrixAlphaZero.jl/experiments/dubin/dubin-2026-07-20/models_rm_plus_no_transfer_train/oracle0000.jld2,on_policy,256,7,500,5,50,0.3,0.3,sample,search,0.0,0.10769351474732503,0.1448257034571772,0.03713218870985215,0.011046040862575551,0.12618226359139995,0.18025711973870748,0.9596925432309509,0.09228744177412078,0.23555774281106603,0.28054675549203884,0.06395265198416179,0.06395265198416179,0.06420914352228704,0.07524534268548654,0.023294059559702873,5.9632792472839355
10,/home/tbecker/code/MatrixAlphaZero.jl/experiments/dubin/dubin-2026-07-20/models_rm_plus_no_transfer_train/oracle0010.jld2,on_policy,256,8,500,5,50,0.29701346406292445,0.29701346406292445,sample,search,0.0,0.024140095669281436,-0.006830196321103223,-0.030970291990384653,0.009178461984012886,0.0718176110758459,0.14980460909438661,1.0420524366511974,0.03410795229146125,0.13554495548091672,0.2373990880483054,-0.10309410813583694,0.10309410813583694,0.10320670891419206,0.11091169543337553,0.024137115105986595,6.179101467132568
20,/home/tbecker/code/MatrixAlphaZero.jl/experiments/dubin/dubin-2026-07-20/models_rm_plus_no_transfer_train/oracle0020.jld2,on_policy,256,13,500,5,50,0.2940566594488604,0.2940566594488604,sample,search,0.0,-0.03418143996987055,-0.019694868536271684,0.014486571433598874,0.014861368579347299,0.11189525208115485,0.23775876670474133,1.133988107442856,0.03618434295425465,0.291130488863584,0.6923666642716857,-0.03887396955636745,0.03887396955636745,0.03907790191945938,0.046812905556563214,0.023646357469260693,6.053467512130737
30,/home/tbecker/code/MatrixAlphaZero.jl/experiments/dubin/dubin-2026-07-20/models_rm_plus_no_transfer_train/oracle0030.jld2,on_policy,256,7,500,5,50,0.2911292901789257,0.2911292901789257,sample,search,0.0,0.0013480746201821603,-0.023856350087596626,-0.025204424707778787,0.008415494321287319,0.06073729220699721,0.13672783884824974,1.0844903806746005,0.02644837446814381,0.1167199911411708,0.23114995350378803,-0.046835983414239925,0.046835983414239925,0.04706971848011715,0.0509291576111602,0.02417207695543766,6.188051700592041
40,/home/tbecker/code/MatrixAlphaZero.jl/experiments/dubin/dubin-2026-07-20/models_rm_plus_no_transfer_train/oracle0040.jld2,on_policy,256,11,500,5,50,0.28823106322074354,0.28823106322074354,sample,search,0.0,-0.05187946961086709,-0.05121002055415918,0.0006694490567079092,0.014280981249423456,0.1029514498322304,0.2280499652507484,1.143725040435791,0.0301565253793113,0.26832096086126656,0.5575210107690285,-0.028207875869821288,0.028207875869821288,0.02866348394713085,0.03927856299414825,0.022579866461455822,5.78044581413269
50,/home/tbecker/code/MatrixAlphaZero.jl/experiments/dubin/dubin-2026-07-20/models_rm_plus_no_transfer_train/oracle0050.jld2,on_policy,256,11,500,5,50,0.28536168845910936,0.28536168845910936,sample,search,0.0,-0.06184493482396647,-0.08045102886153141,-0.018606094037564958,0.012868306112379222,0.09824257659751459,0.20633099330158403,1.0247378727971734,0.036205323197906716,0.19630250600372667,0.5633228896092519,-0.008835646317955114,0.00925520525243343,0.01052223758493355,0.01983036239799693,0.024305781349539757,6.222280025482178
60,/home/tbecker/code/MatrixAlphaZero.jl/experiments/dubin/dubin-2026-07-20/models_rm_plus_no_transfer_train/oracle0060.jld2,on_policy,256,9,500,5,50,0.2825208786669504,0.2825208786669504,sample,search,0.0,-0.049087046236309106,-0.03727617613434846,0.011810870101960644,0.01239803172352141,0.09589029799269302,0.1983326757244338,1.0056989884627983,0.03543066538941465,0.18880849533444666,0.5193212496346626,0.00917787611624133,0.010364690237295913,0.011750575629775243,0.017788209799081675,0.024721890687942505,6.328804016113281
70,/home/tbecker/code/MatrixAlphaZero.jl/experiments/dubin/dubin-2026-07-20/models_rm_plus_no_transfer_train/oracle0070.jld2,on_policy,256,14,500,5,50,0.27970834947657375,0.27970834947657375,sample,search,0.0,-0.0519686190837092,-0.032302817317986426,0.019665801765722773,0.016244494609366562,0.13839226295861118,0.26014815598633834,1.1723862088620662,0.05430255616864511,0.4290021080899276,0.6550918562578086,0.01435795113106835,0.014807514531226529,0.01751808157917464,0.02854281239704632,0.023532849736511707,6.024409532546997
80,/home/tbecker/code/MatrixAlphaZero.jl/experiments/dubin/dubin-2026-07-20/models_rm_plus_no_transfer_train/oracle0080.jld2,on_policy,256,13,500,5,50,0.27692381935120086,0.27692381935120086,sample,search,0.0,-0.05022700188783347,-0.05850298686375158,-0.008275984975918116,0.015279573305292024,0.13559047614876507,0.2441355337250781,0.9786288021579385,0.04297948331917947,0.48160278348271107,0.6477200381161422,0.03499631716521794,0.03499631716521794,0.03609789661592767,0.05530127002081989,0.023300565779209137,5.964944839477539
90,/home/tbecker/code/MatrixAlphaZero.jl/experiments/dubin/dubin-2026-07-20/models_rm_plus_no_transfer_train/oracle0090.jld2,on_policy,256,14,500,5,50,0.2741670095567856,0.2741670095567856,sample,search,0.0,0.02182026710215723,0.019019874816471223,-0.002800392285686006,0.014481593241227397,0.136125701955098,0.23126945455910577,1.015823265980929,0.06233453609303865,0.3447311429724222,0.5747502633806868,0.06528536462238214,0.06528536462238214,0.0663000051868501,0.08371528788359228,0.023398712277412415,5.990070343017578
100,/home/tbecker/code/MatrixAlphaZero.jl/experiments/dubin/dubin-2026-07-20/models_rm_plus_no_transfer_train/oracle0100.jld2,on_policy,256,12,500,5,50,0.27143764413411264,0.27143764413411264,sample,search,0.0,0.041049022609513486,0.07205695182630369,0.031007929216790214,0.014193722201242273,0.13906648602487903,0.22876677622734712,1.1516672383546829,0.07454573281565686,0.3326101264507446,0.6205482108653344,0.06983509734294573,0.06983509734294573,0.0708317111255436,0.09023067744939404,0.024103359319269657,6.170459985733032
110,/home/tbecker/code/MatrixAlphaZero.jl/experiments/dubin/dubin-2026-07-20/models_rm_plus_no_transfer_train/oracle0110.jld2,on_policy,256,19,500,5,50,0.26873544987117387,0.26873544987117387,sample,search,0.0,0.10857234957438777,0.12144146831075166,0.012869118736363868,0.01837171916073085,0.21753173294843303,0.293654951893963,0.9790103247805947,0.15755889857928862,0.47761076097806365,0.6646428883928789,0.06334528852233734,0.06334528852233734,0.06447713867707792,0.08415445443440205,0.0194482384249568,4.97874903678894
120,/home/tbecker/code/MatrixAlphaZero.jl/experiments/dubin/dubin-2026-07-20/models_rm_plus_no_transfer_train/oracle0120.jld2,on_policy,256,18,500,5,50,0.26606015627581914,0.26606015627581914,sample,search,0.0,0.10057230071834056,0.14121459146790155,0.04064229074956097,0.017241990524298277,0.2068370757921296,0.27831598282091113,1.102512937814253,0.14270362050858118,0.4818356846780688,0.5731579008016907,0.08660997347897458,0.08660997347897458,0.08706173947568502,0.10065716475798642,0.018073460087180138,4.626805782318115
