name,scale,backup,regret_weight,strategy_weight,statistic_weight,reach_power,search_player,runs,reward,stderr_reward,mean_steps,attacker_goal_rate,tagged_rate,timeout_rate,queries,max_depth,max_steps,search_epsilon,action_epsilon,elapsed_seconds,delta_vs_value_only
value_only_mean,0.0,mean,0.0,0.0,0.0,1.0,1,200,0.30098305780197554,0.04205233763098968,9.36,0.78,0.22,0.0,100,5,50,0.1,0.0,4.275104417,0.0
value_only_mean,0.0,mean,0.0,0.0,0.0,1.0,2,200,0.7271504546874968,0.02566845584560304,5.055,0.055,0.945,0.0,100,5,50,0.1,0.0,0.963591166,0.0
regret_only_sample_s5,5.0,sample,1.0,0.0,0.0,1.0,1,200,0.34487208459399055,0.03548723143800254,11.47,0.835,0.165,0.0,100,5,50,0.1,0.0,3.959378417,0.04388902679201501
regret_only_sample_s5,5.0,sample,1.0,0.0,0.0,1.0,2,200,0.7271504546874968,0.02566845584560304,5.055,0.055,0.945,0.0,100,5,50,0.1,0.0,1.620566709,0.0
coupled_mean_s5,5.0,mean,1.0,1.0,1.0,1.0,1,200,0.40236832872524053,0.035463459261048776,10.08,0.855,0.145,0.0,100,5,50,0.1,0.0,2.174303625,0.10138527092326499
coupled_mean_s5,5.0,mean,1.0,1.0,1.0,1.0,2,200,0.7906819421874965,0.013685675526168353,5.015,0.015,0.985,0.0,100,5,50,0.1,0.0,1.120093375,0.0635314874999997
regret_only_mean_s1.0,1.0,mean,1.0,0.0,0.0,1.0,1,200,0.34156627228491004,0.0389821165378072,9.995,0.815,0.185,0.0,100,5,50,0.1,0.0,2.198825167,0.040583214482934504
regret_only_mean_s1.0,1.0,mean,1.0,0.0,0.0,1.0,2,200,0.7747990703124965,0.017578216394488453,5.025,0.025,0.975,0.0,100,5,50,0.1,0.0,1.4682865,0.04764861562499967
regret_only_mean_s2.5,2.5,mean,1.0,0.0,0.0,1.0,1,200,0.4221825634146099,0.03530569908334004,9.69,0.86,0.14,0.0,100,5,50,0.1,0.0,2.077171792,0.12119950561263437
regret_only_mean_s2.5,2.5,mean,1.0,0.0,0.0,1.0,2,200,0.7747990703124965,0.017578216394488446,5.025,0.025,0.975,0.0,100,5,50,0.1,0.0,1.10907025,0.04764861562499967
regret_only_mean_s5.0,5.0,mean,1.0,0.0,0.0,1.0,1,200,0.42598717834918504,0.033373431854849187,10.415,0.87,0.125,0.005,100,5,50,0.1,0.0,2.271913875,0.1250041205472095
regret_only_mean_s5.0,5.0,mean,1.0,0.0,0.0,1.0,2,200,0.735091890624997,0.024538572755640788,5.05,0.05,0.95,0.0,100,5,50,0.1,0.0,1.450104,0.007941435937500185
regret_only_mean_s10.0,10.0,mean,1.0,0.0,0.0,1.0,1,200,0.3382665214900707,0.039600734799824774,9.745,0.81,0.19,0.0,100,5,50,0.1,0.0,2.065702791,0.03728346368809515
regret_only_mean_s10.0,10.0,mean,1.0,0.0,0.0,1.0,2,200,0.7589161984374968,0.02069189057967188,5.035,0.035,0.965,0.0,100,5,50,0.1,0.0,1.115194083,0.031765743749999964
regret_only_mean_s25.0,25.0,mean,1.0,0.0,0.0,1.0,1,200,0.3202106866412358,0.04035731855266159,9.94,0.79,0.205,0.005,100,5,50,0.1,0.0,2.13868325,0.01922762883926027
regret_only_mean_s25.0,25.0,mean,1.0,0.0,0.0,1.0,2,200,0.7906819421874967,0.013685675526168358,5.015,0.015,0.985,0.0,100,5,50,0.1,0.0,1.118736833,0.06353148749999982
regret_only_mean_s50.0,50.0,mean,1.0,0.0,0.0,1.0,1,200,0.376492222596856,0.03717629839217556,10.245,0.83,0.16,0.01,100,5,50,0.1,0.0,2.51979775,0.07550916479488046
regret_only_mean_s50.0,50.0,mean,1.0,0.0,0.0,1.0,2,200,0.7906819421874965,0.013685675526168358,5.015,0.015,0.985,0.0,100,5,50,0.1,0.0,1.104186125,0.0635314874999997
regret_only_mean_s100.0,100.0,mean,1.0,0.0,0.0,1.0,1,200,0.3423960582130236,0.039227402659339224,10.025,0.81,0.185,0.005,100,5,50,0.1,0.0,2.193098584,0.04141300041104806
regret_only_mean_s100.0,100.0,mean,1.0,0.0,0.0,1.0,2,200,0.8065648140624964,0.0079414359375,5.005,0.005,0.995,0.0,100,5,50,0.1,0.0,1.139106541,0.07941435937499952
