queries,solver,player,runs,dominant_action_1_fraction,dominant_action_2_fraction,dominant_action_3_fraction,sqrt_normalized_positive_l2_mean,sqrt_normalized_positive_l2_std,sqrt_normalized_negative_l2_mean,sqrt_normalized_negative_l2_std,positive_hhi_mean,positive_support_mean
500,rm,1,100,0.98,0.02,0.0,0.005066088533742301,0.01633064077455692,0.005023993252740247,0.027328378252482875,0.5939525124944038,0.17
500,rm,2,100,0.91,0.04,0.05,0.0002708408983827617,0.0013354558419556826,0.0056665288205735445,0.019129629110336846,1.0,0.07
500,rm_plus,1,100,0.98,0.02,0.0,0.005063132484687467,0.016318336797373365,0.0,0.0,0.6071194934232962,0.17
500,rm_plus,2,100,0.93,0.04,0.03,0.0002796300754498918,0.0013820655138283794,0.0,0.0,1.0,0.07
1000,rm,1,100,0.77,0.11,0.12,0.028329239630991696,0.03041779607947811,0.01869395931100021,0.03831939008411472,0.5789853005281919,1.11
1000,rm,2,100,0.46,0.14,0.4,0.00210486149769751,0.004303948267619394,0.04298247569712313,0.06274976449188349,1.0,0.52
1000,rm_plus,1,100,0.79,0.1,0.11,0.02899327086835305,0.03142845445710926,0.0,0.0,0.5121912102862405,1.28
1000,rm_plus,2,100,0.48,0.14,0.38,0.0020299365317434453,0.0036463700613460965,0.0,0.0,1.0,0.52
5000,rm,1,100,0.47,0.0,0.53,0.21145022354208953,0.06285732961385415,0.26816297684913265,0.17139952431310207,0.6224803431648255,1.87
5000,rm,2,100,0.0,0.22,0.78,0.04889653331332926,0.025051686619569736,0.5933398926537392,0.14308132553205377,1.0,0.97
5000,rm_plus,1,100,0.49,0.0,0.51,0.2921229848351087,0.07290508033694917,0.0,0.0,0.5385235001068451,2.54
5000,rm_plus,2,100,0.0,0.15,0.85,0.0644171675297686,0.025427550585125858,0.0,0.0,0.8763440376020122,1.86
