style,trial,seed,iterations,max_depth,br_depth,epsilon,backup,n_states,n_expanded,root_visits,search_value,policy_value,p1_value_vs_p2_br,p2_value_vs_p1_br,exploitability_gap,root_regret_l2,root_strategy_entropy,elapsed_seconds
smoos,1,20001,500,5,5,0.3,sample,1064,610,500,-0.019999967864196434,-0.019999967864196434,-0.35781926907848766,-0.0,0.35781926907848766,0.9795132504601287,0.4235703937810056,0.00154925
smoos,2,20002,500,5,5,0.3,sample,1199,716,500,-0.01529287785530636,-0.01529287785530636,-0.11103336004713575,-0.0,0.11103336004713575,1.1525359280544805,0.48995733356513094,0.002791584
smoos,3,20003,500,5,5,0.3,sample,1208,717,500,-0.014043514978137998,-0.014043514978137998,-0.10452917436355463,-0.0,0.10452917436355463,0.7968149626055667,0.49600679311130885,0.001584125
smoos,4,20004,500,5,5,0.3,sample,1205,721,500,-0.01585071729114756,-0.01585071729114756,-0.09418961038803081,-0.0,0.09418961038803081,0.7082799667605038,0.5461862833429245,0.001548875
smoos,5,20005,500,5,5,0.3,sample,1153,670,500,-0.008825014151218627,-0.008825014151218627,-0.19684613895882044,-0.0,0.19684613895882044,2.090848785805282,0.4402425989590565,0.001531834
smoos,6,20006,500,5,5,0.3,sample,1153,676,500,-0.02104771016196643,-0.02104771016196643,-0.11134330815176237,-0.0,0.11134330815176237,1.380197345941785,0.41906215157999993,0.001664
smoos,7,20007,500,5,5,0.3,sample,1227,731,500,-0.02734866887773167,-0.02734866887773167,-0.18067398738534604,-0.0,0.18067398738534604,0.7082799667605038,0.30757101230366,0.001573917
smoos,8,20008,500,5,5,0.3,sample,1228,751,500,-0.022287095264259534,-0.022287095264259534,-0.319544221366204,-0.0,0.319544221366204,0.5739913498483673,0.6655242442594498,0.001594542
smoos,9,20009,500,5,5,0.3,sample,1162,678,500,-0.01692499165842821,-0.01692499165842821,-0.1441970665787877,-0.0,0.1441970665787877,1.3801973459417851,0.3033114706488424,0.001576875
smoos,10,20010,500,5,5,0.3,sample,1161,681,500,-0.009232633703011278,-0.009232633703011278,-0.08274544708894095,-0.0,0.08274544708894095,1.6850704147690487,0.34084528421755206,0.001605583
smoos,11,20011,500,5,5,0.3,sample,1240,752,500,-0.014675615867972067,-0.014675615867972067,-0.16286236357273645,-0.0,0.16286236357273645,2.190450656130978,0.4126626835672832,0.001570917
smoos,12,20012,500,5,5,0.3,sample,1199,714,500,-0.015816579979360222,-0.015816579979360222,-0.2079490180714897,-0.0,0.2079490180714897,1.4189314066240004,0.2655480643276455,0.001565166
smoos,13,20013,500,5,5,0.3,sample,1216,726,500,-0.010463275890421099,-0.010463275890421099,-0.047423076811021675,-0.0,0.047423076811021675,1.2755012000615125,0.47243000226184745,0.001619542
smoos,14,20014,500,5,5,0.3,sample,1163,686,500,-0.022797035924889793,-0.022797035924889793,-0.18556665136362063,-0.0,0.18556665136362063,0.8352925528633101,0.19004628740075402,0.008648542
smoos,15,20015,500,5,5,0.3,sample,1188,701,500,-0.019172892317220525,-0.019172892317220525,-0.1444612406669304,-0.0,0.1444612406669304,1.7454042038026698,0.4120872369000321,0.001556708
smoos,16,20016,500,5,5,0.3,sample,1093,624,500,-0.011051867326416746,-0.011051867326416746,-0.1875174502755762,-0.0,0.1875174502755762,1.6850704147690487,0.2494967078438577,0.0015235
smoos,17,20017,500,5,5,0.3,sample,1145,669,500,-0.011083985129362086,-0.011083985129362086,-0.095788926979094,-0.0,0.095788926979094,0.658925219870367,0.4399949532281628,0.001553375
smoos,18,20018,500,5,5,0.3,sample,1151,666,500,-0.005773700380402914,-0.005773700380402914,-0.03952107709985153,-0.0,0.03952107709985153,1.349741958537081,0.38633078479629845,0.001527209
smoos,19,20019,500,5,5,0.3,sample,1156,674,500,-0.007250200218309849,-0.007250200218309849,-0.061015884111434035,-0.0,0.061015884111434035,1.0680482463051917,0.39033347426043086,0.001569125
smoos,20,20020,500,5,5,0.3,sample,1165,679,500,-0.006330423122247292,-0.006330423122247292,-0.033322797450071585,-0.0,0.033322797450071585,0.7968149626055667,0.5374822753107116,0.001535
smoos,21,20021,500,5,5,0.3,sample,1167,680,500,-0.006797325199258078,-0.006797325199258078,-0.07598278515182379,-0.0,0.07598278515182379,1.6568692079576066,0.4237735734598339,0.001547709
smoos,22,20022,500,5,5,0.3,sample,1163,674,500,-0.008436527534072324,-0.008436527534072324,-0.059578292061437214,-0.0,0.059578292061437214,0.9399886987435827,0.44766133908920314,0.001572875
smoos,23,20023,500,5,5,0.3,sample,1213,720,500,-0.008626390128216567,-0.008626390128216567,-0.14482210170286075,-0.0,0.14482210170286075,2.052114725123067,0.47972431385010167,0.00160925
smoos,24,20024,500,5,5,0.3,sample,1188,701,500,-0.007720954415485284,-0.007720954415485284,-0.11731858983756681,-0.0,0.11731858983756681,1.6465928245113053,0.5056665934959689,0.011349375
smoos,25,20025,500,5,5,0.3,sample,1102,630,500,-0.0047022345291081406,-0.0047022345291081406,-0.254517878570824,-0.0,0.254517878570824,0.2529571309858942,0.20893551792541584,0.001666375
smoos,26,20026,500,5,5,0.3,sample,1193,712,500,-0.014371306027360534,-0.014371306027360534,-0.23395167966269148,-0.0,0.23395167966269148,0.07993445339154254,0.32316626302028084,0.001748042
smoos,27,20027,500,5,5,0.3,sample,1245,753,500,-0.008841566476655753,-0.008841566476655753,-0.15126150027202342,-0.0,0.15126150027202342,0.48061854887319894,0.6167361474798667,0.001688958
smoos,28,20028,500,5,5,0.3,sample,1100,625,500,-0.023093860016839673,-0.023093860016839673,-0.3568258043586698,-0.0,0.3568258043586698,1.340672794225239,0.38567878059363014,0.001617792
smoos,29,20029,500,5,5,0.3,sample,1135,661,500,-0.05637922737473608,-0.05637922737473608,-0.41123166014938956,-0.0,0.41123166014938956,0.8853499584506297,0.37651653965913917,0.001580917
smoos,30,20030,500,5,5,0.3,sample,1206,721,500,-0.015495707150532391,-0.015495707150532391,-0.06572681528872133,-0.0,0.06572681528872133,0.569153544718262,0.5209497990979484,0.001590917
smoos,31,20031,500,5,5,0.3,sample,1151,670,500,-0.008118836763444399,-0.008118836763444399,-0.10811968063724951,-0.0,0.10811968063724951,2.1406497209681303,0.40737269802492027,0.001640458
smoos,32,20032,500,5,5,0.3,sample,1119,643,500,-0.028696994399781618,-0.028696994399781618,-0.33534104294343225,-0.0,0.33534104294343225,0.4461882727112299,0.41118951164241857,0.001586
smoos,33,20033,500,5,5,0.3,sample,1064,612,500,-0.07806314379421467,-0.07806314379421467,-0.4679784542797379,-0.0,0.4679784542797379,1.1136291616414344,0.3857836324953046,0.001561
smoos,34,20034,500,5,5,0.3,sample,1139,665,500,-0.00832316339318935,-0.00832316339318935,-0.17501461231384452,-0.0,0.17501461231384452,2.352149988820225,0.20840929796982416,0.001553292
smoos,35,20035,500,5,5,0.3,sample,1134,649,500,-0.0032553902850003206,-0.0032553902850003206,-0.015319817925436328,-0.0,0.015319817925436328,0.9154834766793245,0.28425948792945,0.001547375
smoos,36,20036,500,5,5,0.3,sample,1182,698,500,-0.012316477163633054,-0.012316477163633054,-0.11589019350603007,-0.0,0.11589019350603007,1.0680482463051917,0.4645510807060328,0.001550709
smoos,37,20037,500,5,5,0.3,sample,1192,708,500,-0.014786278406001217,-0.014786278406001217,-0.11323642715038616,-0.0,0.11323642715038616,0.7968149626055667,0.5444742729002139,0.001566875
smoos,38,20038,500,5,5,0.3,sample,1149,668,500,-0.006697597856145357,-0.006697597856145357,-0.06895855939742203,-0.0,0.06895855939742203,0.07993445339154255,0.4462754208947999,0.001572875
smoos,39,20039,500,5,5,0.3,sample,1216,732,500,-0.015428130223334488,-0.015428130223334488,-0.07687300768905182,-0.0,0.07687300768905182,0.48061854887319894,0.6221495320957323,0.001585458
smoos,40,20040,500,5,5,0.3,sample,1198,712,500,-0.019851842225336615,-0.019851842225336615,-0.20948491344740383,-0.0,0.20948491344740383,0.5950536478280204,0.42541390612397423,0.001561209
smoos,41,20041,500,5,5,0.3,sample,1144,661,500,-0.010789576859563383,-0.010789576859563383,-0.18327318957667518,-0.0,0.18327318957667518,1.3791503844829824,0.23761349309340696,0.001551208
smoos,42,20042,500,5,5,0.3,sample,1154,677,500,-0.03817802319373993,-0.03817802319373993,-0.23981295267884006,-0.0,0.23981295267884006,0.7922960047557184,0.2864098863324865,0.001560667
smoos,43,20043,500,5,5,0.3,sample,1054,591,500,-0.0032845866516321327,-0.0032845866516321327,-0.18310302707379802,-0.0,0.18310302707379802,1.191013518312224,0.09790022317858814,0.001531916
smoos,44,20044,500,5,5,0.3,sample,1219,727,500,-0.018688281170944995,-0.018688281170944995,-0.10035236838154547,-0.0,0.10035236838154547,3.356424931769084,0.5020570993138144,0.001577666
smoos,45,20045,500,5,5,0.3,sample,1121,650,500,-0.034405595748146924,-0.034405595748146924,-0.27145852986772756,-0.0,0.27145852986772756,1.0244763804928714,0.3839914094991049,0.001539292
smoos,46,20046,500,5,5,0.3,sample,1238,748,500,-0.012995330817895022,-0.012995330817895022,-0.19344956490633003,-0.0,0.19344956490633003,1.2877810219691586,0.6455739631614199,0.001575875
smoos,47,20047,500,5,5,0.3,sample,1132,655,500,-0.009435003473846822,-0.009435003473846822,-0.0813387091745004,-0.0,0.0813387091745004,1.7351278203563683,0.4113463709141005,0.001579625
smoos,48,20048,500,5,5,0.3,sample,1242,746,500,-0.005952657087794985,-0.005952657087794985,-0.09756328151107375,-0.0,0.09756328151107375,0.569153544718262,0.42296848963574907,0.001566958
smoos,49,20049,500,5,5,0.3,sample,1141,656,500,-0.009137159732371055,-0.009137159732371055,-0.04586908009764514,-0.0,0.04586908009764514,1.429207790070302,0.4001824263000951,0.001534834
