method,corruption,confidence,online_updates,tree_queries,source_mass,root_regret_mass,root_strategy_mass,fit_regret_relative_error,fit_regret_cosine,fit_strategy_tv,baseline_mean,baseline_stderr,transfer_mean,transfer_stderr,paired_improvement,paired_improvement_stderr,paired_win_rate
plus,0.25,0.75,4,5,4096,0.9375,3.75,0.32720339114751806,0.9542208461472506,0.10061021751384643,0.6129240233035437,0.010705417380532545,0.2833282537760873,0.0041594889484431515,0.3295957695274565,0.011230123372856492,1.0
plus,0.25,0.75,8,9,4096,1.6875,6.75,0.32720339114751806,0.9542208461472506,0.10061021751384643,0.4953615377265461,0.0077109717501750415,0.27491664270499927,0.004140457062179505,0.22044489502154693,0.008922031028814517,1.0
plus,0.25,0.75,16,17,4096,3.1875,12.75,0.32720339114751806,0.9542208461472506,0.10061021751384643,0.41695571663767184,0.005085924557657945,0.2455767164129602,0.0033663925179573686,0.17137900022471164,0.005957272982358806,1.0
plus,0.25,0.75,32,33,4096,6.1875,24.75,0.32720339114751806,0.9542208461472506,0.10061021751384643,0.36089828044998096,0.003984516929010188,0.21291626242099035,0.0026033528828657625,0.14798201802899055,0.0046199597800281695,1.0
plus,0.25,0.75,64,65,4096,12.1875,48.75,0.32720339114751806,0.9542208461472506,0.10061021751384643,0.2984785898941994,0.004343354890838359,0.1852374692483985,0.0022217471762425024,0.11324112064580096,0.004699037281436969,0.99
plus,0.25,0.75,128,129,4096,24.1875,96.75,0.32720339114751806,0.9542208461472506,0.10061021751384643,0.2436407378417497,0.003606237076251572,0.16034631376607675,0.001883416198879125,0.08329442407567297,0.004002850669503776,0.98
plus,0.25,0.75,256,257,4096,48.1875,192.75,0.32720339114751806,0.9542208461472506,0.10061021751384643,0.1870669541076717,0.0029514847008476415,0.13270935912726212,0.0015550004793618052,0.0543575949804096,0.003452228715001157,0.97
plus,0.25,0.75,500,501,4096,93.9375,375.75,0.32720339114751806,0.9542208461472506,0.10061021751384643,0.14461591652215897,0.002323931535291608,0.11084900328250276,0.0012793694384338225,0.0337669132396562,0.0026275314391046656,0.88
plus,0.5,0.5,4,5,4096,0.625,2.5,0.5723508626435312,0.82462268978937,0.20122043727091374,0.6129240233035437,0.010705417380532545,0.3690084822601218,0.004542844292215182,0.24391554104342195,0.01151359455438064,0.98
plus,0.5,0.5,8,9,4096,1.125,4.5,0.5723508626435312,0.82462268978937,0.20122043727091374,0.4953615377265461,0.0077109717501750415,0.34590880790880585,0.004258516152539836,0.14945272981774033,0.008404993749239885,0.98
plus,0.5,0.5,16,17,4096,2.125,8.5,0.5723508626435312,0.82462268978937,0.20122043727091374,0.41695571663767184,0.005085924557657945,0.3083270742086794,0.0034120289805650503,0.10862864242899235,0.005731651146151349,0.97
plus,0.5,0.5,32,33,4096,4.125,16.5,0.5723508626435312,0.82462268978937,0.20122043727091374,0.36089828044998096,0.003984516929010188,0.2762017266219053,0.0029524794571058285,0.08469655382807562,0.004397224823884387,0.99
plus,0.5,0.5,64,65,4096,8.125,32.5,0.5723508626435312,0.82462268978937,0.20122043727091374,0.2984785898941994,0.004343354890838359,0.2442974981124053,0.0024215127709298527,0.054181091781794116,0.004536485142000122,0.9
plus,0.5,0.5,128,129,4096,16.125,64.5,0.5723508626435312,0.82462268978937,0.20122043727091374,0.2436407378417497,0.003606237076251572,0.2115685416507262,0.002156966196442979,0.03207219619102347,0.004250525363499058,0.77
