method,online_updates,prior_mass,trials,exploitability_mean,exploitability_stderr,exploitability_p90,paired_improvement_mean,paired_improvement_stderr,paired_win_rate
plus,4,0.0,100,0.6129240233035437,0.010705417380532545,0.74515913336781,0.0,0.0,0.0
plus,4,1.0,100,0.3525299541157922,0.006294091488152598,0.4234758019485183,0.2603940691877516,0.011947790567422366,0.98
plus,4,4.0,100,0.16495266585878032,0.002985306027731669,0.20339650855755265,0.4479713574447634,0.010663067773924059,1.0
plus,4,16.0,100,0.05842068062497455,0.0011134211090107018,0.07431550336749385,0.5545033426785693,0.010676965757681576,1.0
plus,4,64.0,100,0.03010653039313191,0.0002414849426229621,0.032992189523332355,0.5828174929104118,0.010718119389760885,1.0
plus,4,256.0,100,0.030247865778459334,4.444711577901521e-5,0.030763944653756238,0.5826761575250843,0.010705370907528603,1.0
plus,4,1024.0,100,0.030583019293164947,6.9490359129667235e-6,0.030678016397653298,0.5823410040103788,0.010705288244341558,1.0
plus,4,4096.0,100,0.03068356497305137,1.2465760671545714e-6,0.030700960583787313,0.5822404583304924,0.010705308787971818,1.0
plus,8,0.0,100,0.4953615377265461,0.0077109717501750415,0.6035428853940128,0.0,0.0,0.0
plus,8,1.0,100,0.38153537093544054,0.005339348968320096,0.4512321508574919,0.11382616679110555,0.009117021948314359,0.87
plus,8,4.0,100,0.25037442692510686,0.0037032616591348875,0.2980794408195034,0.2449871108014393,0.008754826104079124,1.0
plus,8,16.0,100,0.10763125129764317,0.0017549181872093342,0.13119304614382346,0.387730286428903,0.008025263113258269,1.0
plus,8,64.0,100,0.0407586331424223,0.0005356182447318304,0.04760850855311902,0.45460290458412395,0.007775565015117961,1.0
plus,8,256.0,100,0.030889466970582792,0.0001044504217903019,0.03212303249945815,0.46447207075596336,0.007704251439387663,1.0
plus,8,1024.0,100,0.030674151107536254,2.0298621288800552e-5,0.03093862423434309,0.46468738661900993,0.00771034950175554,1.0
plus,8,4096.0,100,0.030687168852605237,4.166478068256296e-6,0.03074142426489026,0.46467436887394087,0.007710813686861007,1.0
plus,16,0.0,100,0.41695571663767184,0.005085924557657945,0.48390860829500215,0.0,0.0,0.0
plus,16,1.0,100,0.3410742215458555,0.0049017797247351644,0.39932996423391715,0.07588149509181628,0.006163894330786294,0.91
plus,16,4.0,100,0.28041016795509965,0.00421206951556937,0.3314046265484536,0.13654554868257213,0.006463389375767188,0.97
plus,16,16.0,100,0.15830121226091703,0.002540200214423119,0.19037979019715995,0.25865450437675475,0.00566821047304076,1.0
plus,16,64.0,100,0.05990284975471961,0.0009759653292859916,0.0728055905182792,0.35705286688295224,0.005173626445934203,1.0
plus,16,256.0,100,0.03223901233209639,0.00023550126496637783,0.035097437663947344,0.3847167043055755,0.005100873678986407,1.0
plus,16,1024.0,100,0.030825503701080705,4.3805346482056436e-5,0.031388270685101964,0.3861302129365912,0.005083641784954629,1.0
plus,16,4096.0,100,0.030706545767868364,8.7044239508493e-6,0.030808069381295156,0.3862491708698035,0.005085297876380071,1.0
plus,32,0.0,100,0.36089828044998096,0.003984516929010188,0.4009641091700132,0.0,0.0,0.0
plus,32,1.0,100,0.31393045406086506,0.00399147902580221,0.3643330506828093,0.046967826389115855,0.005607374715780522,0.78
plus,32,4.0,100,0.27094826124057125,0.0038942681602706563,0.32656586193537945,0.08995001920940966,0.0055948950447666426,0.96
plus,32,16.0,100,0.1873954411318841,0.0028118961231252994,0.22181548881062277,0.17350283931809682,0.004855245039594256,1.0
plus,32,64.0,100,0.09612361927080405,0.0016501162557758138,0.12137509003446142,0.26477466117917686,0.004531315024140763,1.0
plus,32,256.0,100,0.038765841390721936,0.0005517846174626463,0.04641666930416343,0.3221324390592589,0.003999372439987948,1.0
plus,32,1024.0,100,0.03106210337883304,0.00012041225616284018,0.03286026394429077,0.3298361770711479,0.0040180840007835094,1.0
plus,32,4096.0,100,0.030746890190340045,2.3235008057476297e-5,0.031048573989505557,0.3301513902596409,0.003987326901501749,1.0
plus,64,0.0,100,0.2984785898941994,0.004343354890838359,0.3564300363601864,0.0,0.0,0.0
plus,64,1.0,100,0.2699716916826273,0.003764503230961619,0.32148438404506613,0.02850689821157213,0.0051390021313408255,0.68
plus,64,4.0,100,0.24403044033801993,0.0036355395121913103,0.2911438467733436,0.05444814955617953,0.005514448011056649,0.82
plus,64,16.0,100,0.19811435046283005,0.003188496112018048,0.24047769479898154,0.10036423943136942,0.005024251110337059,0.98
plus,64,64.0,100,0.11856426558232044,0.0020096392623337417,0.14504374828517028,0.17991432431187898,0.004639856786428585,1.0
plus,64,256.0,100,0.053109779326942164,0.000945907073718137,0.06527136599457901,0.2453688105672573,0.00454901937845799,1.0
plus,64,1024.0,100,0.03155864369436684,0.00024453728109667287,0.03455643262548791,0.2669199461998326,0.004365168887239075,1.0
plus,64,4096.0,100,0.030576832990008,5.623239327554998e-5,0.031264233483122385,0.26790175690419143,0.004340885252297983,1.0
plus,128,0.0,100,0.2436407378417497,0.003606237076251572,0.28463822839597785,0.0,0.0,0.0
plus,128,1.0,100,0.22915455627164077,0.003263434315334831,0.26761877337102646,0.01448618157010896,0.004562940355768276,0.63
plus,128,4.0,100,0.215855233980025,0.0034924175393961075,0.2622389510413264,0.027785503861724733,0.004745889026897367,0.7
plus,128,16.0,100,0.1851903939259557,0.0027061767422086255,0.21825300828490388,0.05845034391579404,0.0042323112195861495,0.9
plus,128,64.0,100,0.12670153888689228,0.0021672028317092267,0.1543158514727484,0.11693919895485745,0.003917232097621259,0.99
plus,128,256.0,100,0.06810277574504654,0.0011775905559302084,0.08146944403545568,0.1755379620967032,0.0038455171573441695,1.0
plus,128,1024.0,100,0.0356395236437572,0.0005203657513510085,0.04165393929123257,0.2080012141979925,0.0036878068503387053,1.0
plus,128,4096.0,100,0.03032810248958144,0.00013869328567168025,0.03195846464665213,0.2133126353521683,0.0036280607522752944,1.0
vanilla,4,0.0,100,0.6067276195405562,0.010570236304360641,0.744443135980723,0.0,0.0,0.0
vanilla,4,1.0,100,0.45490119244578714,0.008372738826614502,0.5761737673658054,0.15182642709476915,0.012867968481639755,0.86
vanilla,4,4.0,100,0.2560153292466193,0.004843490988019771,0.33474676058847,0.35071229029393697,0.010859037300909601,1.0
vanilla,4,16.0,100,0.08883085031915035,0.0011782777155895496,0.10594619178021822,0.5178967692214059,0.01041893644226558,1.0
vanilla,4,64.0,100,0.03172784078208211,0.0003490051408978049,0.035529886688171766,0.5749997787584742,0.010574357456724364,1.0
vanilla,4,256.0,100,0.02060446062819998,9.285511923626622e-5,0.021606117780530017,0.5861231589123562,0.010582331167678222,1.0
vanilla,4,1024.0,100,0.018314144932406455,1.599157283856445e-5,0.018493362611214884,0.5884134746081497,0.01057230729083498,1.0
vanilla,4,4096.0,100,0.017611505857085888,1.7573032798451085e-6,0.017632455437720677,0.5891161136834705,0.010570296388653502,1.0
vanilla,8,0.0,100,0.5091537008035121,0.007683149708519414,0.6068339244137267,0.0,0.0,0.0
vanilla,8,1.0,100,0.578758544453981,0.01209337998042823,0.7753946412329386,-0.06960484365046896,0.015302058172403482,0.4
vanilla,8,4.0,100,0.37314579297387157,0.007939747650597137,0.5080690320823545,0.13600790782964048,0.01239107313647323,0.86
vanilla,8,16.0,100,0.1718784763464463,0.0033992221686244876,0.22559012218844518,0.33727522445706576,0.009372204584321083,1.0
vanilla,8,64.0,100,0.052295379309168714,0.0008490374233564949,0.06527100820540958,0.45685832149434336,0.007801227884315226,1.0
vanilla,8,256.0,100,0.021915158047136712,0.00017375460536586787,0.023976067353337512,0.48723854275637524,0.007659167280609858,1.0
vanilla,8,1024.0,100,0.01839277968562146,3.601901330155753e-5,0.018856000115194785,0.4907609211178906,0.007678663174065593,1.0
vanilla,8,4096.0,100,0.017700879196823123,6.797925901694554e-6,0.017787668873143408,0.49145282160668896,0.00768270624596981,1.0
vanilla,16,0.0,100,0.428157145358121,0.0095989206400056,0.5415729431066814,0.0,0.0,0.0
vanilla,16,1.0,100,0.43874808147234773,0.009338192607954427,0.5634263549630752,-0.010590936114226727,0.013757502981341041,0.47
vanilla,16,4.0,100,0.4206744159712051,0.008062325706259987,0.5240320026923823,0.00748272938691599,0.011721009609967678,0.58
vanilla,16,16.0,100,0.25423227209554733,0.004518370328320738,0.30866428324353423,0.17392487326257366,0.010610784831820343,0.94
vanilla,16,64.0,100,0.09161501350202503,0.0018162572074842767,0.11485385602929463,0.336542131856096,0.009991839093283585,1.0
vanilla,16,256.0,100,0.03086540571352522,0.0004010800121626623,0.03475509824425864,0.39729173964459585,0.009652363277205379,1.0
vanilla,16,1024.0,100,0.018608345800628655,6.583060449694455e-5,0.019397332082302998,0.40954879955749235,0.00960404129706929,1.0
vanilla,16,4096.0,100,0.01778337008411953,1.2498695053546796e-5,0.01794322930470261,0.4103737752740014,0.009601221365973543,1.0
vanilla,32,0.0,100,0.32014241925695736,0.006261206074755853,0.4005502299648889,0.0,0.0,0.0
vanilla,32,1.0,100,0.3054671804479435,0.00828123015911749,0.4295382456168646,0.01467523880901379,0.010591303993952087,0.58
vanilla,32,4.0,100,0.3128814143942614,0.00695786115978293,0.39867738547409715,0.007261004862695918,0.009405378741013767,0.54
vanilla,32,16.0,100,0.28077414059547573,0.005127171302446871,0.35090630377865034,0.03936827866148156,0.00788682461906573,0.71
vanilla,32,64.0,100,0.14391094069900762,0.0019173999322875334,0.17048375402272997,0.1762314785579497,0.006567391935493383,0.99
vanilla,32,256.0,100,0.045379018556274166,0.0006388855475871764,0.05307711478657355,0.2747634007006832,0.006200903610159516,1.0
vanilla,32,1024.0,100,0.021673819079791226,0.00011847891271417834,0.02308532977097217,0.29846860017716614,0.006275190352610453,1.0
vanilla,32,4096.0,100,0.01780308110783149,2.475950114491985e-5,0.018147065455407882,0.30233933814912584,0.006261550309655505,1.0
vanilla,64,0.0,100,0.2500459093090348,0.006313630044196915,0.3385377881515946,0.0,0.0,0.0
vanilla,64,1.0,100,0.23312757087412384,0.008696563943667242,0.37455986049609674,0.01691833843491095,0.011044152848732492,0.62
