method,online_updates,prior_mass,trial,seed,p1_value_vs_br_p2,br_p1_value_vs_p2,exploitability,root_p1_action_1,root_p1_action_2,root_p1_action_3,root_p2_action_1,root_p2_action_2,root_p2_action_3
vanilla,4,0.0,1,20300715,-0.5772687717841685,0.2813255163974282,0.8585942881815967,0.8333333333333333,0.08333333333333333,0.08333333333333333,0.25242467058261375,0.17488860728313255,0.5726867221342536
vanilla,4,1.0,1,20300715,-0.48129651369152293,0.11096412596869372,0.5922606396602167,0.99951171875,0.000244140625,0.000244140625,0.9996434843060997,1.985934103314022e-5,0.0003366563528669814
vanilla,4,4.0,1,20300715,-0.3083163145969711,0.026644041367731377,0.33496035596470247,0.998779296875,0.0006103515625,0.0006103515625,0.9991087107652498,4.964835258285056e-5,0.0008416408821674538
vanilla,4,16.0,1,20300715,-0.17761762722884902,-0.0701681539532049,0.10744947327564412,0.998046875,0.0009765625,0.0009765625,0.9985739372243996,7.94373641325609e-5,0.0013466254114679263
vanilla,4,64.0,1,20300715,-0.1427366047385968,-0.11108566502754232,0.031650939711054496,0.9977022058823529,0.0011488970588235295,0.0011488970588235295,0.998322279087529,9.345572250889518e-5,0.0015842651899622663
vanilla,4,256.0,1,20300715,-0.14371985544985466,-0.12303092505876213,0.020688930391092528,0.9975961538461539,0.001201923076923077,0.001201923076923077,0.9982448458146457,9.776906354776726e-5,0.0016573851218066784
vanilla,4,1024.0,1,20300715,-0.14434409873472986,-0.125942969055113,0.01840112967961685,0.997568093385214,0.0012159533073929961,0.0012159533073929961,0.9982243576334937,9.891033666311085e-5,0.0016767320298433322
vanilla,4,4096.0,1,20300715,-0.14427628855679803,-0.12666571545394323,0.0176105731028548,0.9975609756097561,0.0012195121951219512,0.0012195121951219512,0.9982191606314452,9.91998303313931e-5,0.0016816395382233612
vanilla,4,0.0,2,20300716,-0.37822267542597143,0.19489326729739248,0.5731159427233639,0.6165901836718745,0.30007648299479217,0.08333333333333333,0.2644101351600913,0.16666666666666669,0.5689231981732421
vanilla,4,1.0,2,20300716,-0.28447675430058383,0.20691938121616943,0.49139613551675326,0.99951171875,0.000244140625,0.000244140625,0.9996434843060997,1.985934103314022e-5,0.0003366563528669814
