iteration,checkpoint,state_mode,samples,root_samples,tree_queries,max_depth,sim_depth,search_epsilon,action_epsilon,backup,value_target,prior_scale,mean_value_prediction,mean_search_backup,residual_mean,residual_stderr,residual_l1,residual_l2,residual_linf,residual_abs_median,residual_abs_p90,residual_abs_p95,root_residual_mean,root_residual_l1,root_residual_l2,root_residual_linf,mean_search_seconds,total_search_seconds
0,/home/tbecker/code/MatrixAlphaZero.jl/experiments/sda/sda-2026-07-21/models_rm_plus_no_transfer_train_mean_leo/oracle0000.jld2,on_policy,256,11,500,5,50,0.3,0.3,mean,search,0.0,0.09666342515629367,1.1556113992776134,1.0589479741213197,0.25404423972368434,2.2188473234749972,4.192693898292095,20.327118087607044,0.4389612024977496,7.8237860056808834,10.07519451824203,2.5615561030893583,2.6146732838336173,4.5869263312885025,11.674533964356229,0.056744372472167015,14.526559352874756
10,/home/tbecker/code/MatrixAlphaZero.jl/experiments/sda/sda-2026-07-21/models_rm_plus_no_transfer_train_mean_leo/oracle0010.jld2,on_policy,256,7,500,5,50,0.29701346406292445,0.29701346406292445,mean,search,0.0,4.48867382761091,5.729777577906608,1.241103750295698,0.18930079471516476,1.8624037475132122,3.2677530802288675,18.57361250266376,0.8787990271260062,4.96215805857838,6.924859458818016,1.8862573672949732,2.0436864006786135,2.7199191521455726,5.889910867427524,0.06131274905055761,15.696063756942749
20,/home/tbecker/code/MatrixAlphaZero.jl/experiments/sda/sda-2026-07-21/models_rm_plus_no_transfer_train_mean_leo/oracle0020.jld2,on_policy,256,8,500,5,50,0.2940566594488604,0.2940566594488604,mean,search,0.0,6.633721868041903,7.836019998969533,1.2022981309276322,0.36150911285218806,3.3628525809833048,5.896708798796324,24.59251021905264,1.5523703367306796,8.892318895192624,15.097047556924306,-0.5419659953554691,1.3675251028184232,1.4635501518575664,2.034302921349548,0.061333393678069115,15.701348781585693
30,/home/tbecker/code/MatrixAlphaZero.jl/experiments/sda/sda-2026-07-21/models_rm_plus_no_transfer_train_mean_leo/oracle0030.jld2,on_policy,256,8,500,5,50,0.2911292901789257,0.2911292901789257,mean,search,0.0,5.75115943865967,5.696415138617178,-0.05474430004249124,0.23849866086022695,2.6853620699901897,3.8089116296624854,18.491385498046874,2.132096866999551,5.222904532855474,8.328708491918315,0.4468867594520121,1.7570269323110494,2.000812690008686,3.0133152256388165,0.06085827015340328,15.57971715927124
40,/home/tbecker/code/MatrixAlphaZero.jl/experiments/sda/sda-2026-07-21/models_rm_plus_no_transfer_train_mean_leo/oracle0040.jld2,on_policy,256,8,500,5,50,0.28823106322074354,0.28823106322074354,mean,search,0.0,7.994600857666228,8.457621860067533,0.46302100240130384,0.239116612468957,2.9164576009427936,3.8463568230359484,16.37748298549652,2.4503189175274125,5.674062849627044,7.7494473530577945,-0.32440862069114407,2.0943430720768106,2.88102882179666,5.740141865652809,0.061267693527042866,15.684529542922974
50,/home/tbecker/code/MatrixAlphaZero.jl/experiments/sda/sda-2026-07-21/models_rm_plus_no_transfer_train_mean_leo/oracle0050.jld2,on_policy,256,12,500,5,50,0.28536168845910936,0.28536168845910936,mean,search,0.0,8.416648176324088,8.249142103711788,-0.16750607261229944,0.2945425372261411,3.1603604598977038,4.706448913399914,22.88316933692184,2.1923841684338323,6.040065004709711,9.19986541799381,-0.2589348050619855,2.2612925001781936,3.044629084362366,6.129645064845695,0.05747939646244049,14.714725494384766
60,/home/tbecker/code/MatrixAlphaZero.jl/experiments/sda/sda-2026-07-21/models_rm_plus_no_transfer_train_mean_leo/oracle0060.jld2,on_policy,256,8,500,5,50,0.2825208786669504,0.2825208786669504,mean,search,0.0,8.053517804801231,8.491447678502311,0.4379298737010786,0.30682026653511707,3.5018187892341373,4.91905935553062,24.761552043914797,2.4489236883618988,7.251660445570694,9.516723650800728,1.237405019604844,2.3593663245690575,2.9018043388727004,5.274706948217631,0.059042894281446934,15.114980936050415
70,/home/tbecker/code/MatrixAlphaZero.jl/experiments/sda/sda-2026-07-21/models_rm_plus_no_transfer_train_mean_leo/oracle0070.jld2,on_policy,256,13,500,5,50,0.27970834947657375,0.27970834947657375,mean,search,0.0,10.734260559896939,11.389271889678128,0.655011329781187,0.3353440183250084,3.494175332382333,5.394925444513986,24.734123678715548,2.0631044737909763,7.7637377863089,11.68464830857015,0.8780493098458184,1.9365791398104344,2.9788353445860096,7.892416549109232,0.05659093614667654,14.487279653549194
80,/home/tbecker/code/MatrixAlphaZero.jl/experiments/sda/sda-2026-07-21/models_rm_plus_no_transfer_train_mean_leo/oracle0080.jld2,on_policy,256,8,500,5,50,0.27692381935120086,0.27692381935120086,mean,search,0.0,9.275976058968809,9.731094219527849,0.4551181605590384,0.32327974998496206,3.286136529099173,5.182386584519456,24.00954212156841,1.996479916010455,7.834136832511397,11.364657418738279,-0.7129576599918226,1.4834536761266583,1.683229013264802,2.790029283418801,0.05873014032840729,15.034915924072266
90,/home/tbecker/code/MatrixAlphaZero.jl/experiments/sda/sda-2026-07-21/models_rm_plus_no_transfer_train_mean_leo/oracle0090.jld2,on_policy,256,11,500,5,50,0.2741670095567856,0.2741670095567856,mean,search,0.0,10.4630868594395,10.826893898024155,0.363807038584655,0.27742238104698297,2.981146431541553,4.444993343672966,22.097612518573975,1.836278429893264,6.846201719084486,10.432506372170785,1.4710389251085003,2.6560674311970787,3.5192612999749793,8.100024626394315,0.05662666354328394,14.496425867080688
