model,width,player,best_epoch,validation_rmse,test_rmse,active_rmse,inactive_rmse,negative_fraction
checkpoint,128,1,0,,0.19130625,0.24814214,0.08671104,0.0848982785602504
plain_mse,128,1,29,0.2168032671011848,0.20295608,0.26396406,0.08958804,0.019561815336463225
softplus_mse,128,1,64,0.2151214711954374,0.20046093,0.26008877,0.09061982,0.0
softplus_huber,128,1,119,0.21427155505386283,0.20050131,0.26192912,0.08443032,0.0
log_huber,128,1,1,0.2279138793301231,0.21267398,0.28876966,0.028362937,0.0
checkpoint,128,2,0,,0.17331167,0.22499771,0.07765535,0.060641627543035995
plain_mse,128,2,53,0.13056698915270135,0.18611348,0.2448543,0.0715394,0.07668231611893583
softplus_mse,128,2,84,0.13085305497579378,0.1851553,0.2424562,0.075564936,0.0
softplus_huber,128,2,89,0.13078661219452217,0.18420202,0.24303924,0.06795056,0.0
log_huber,128,2,97,0.13488854455464774,0.19910604,0.27019194,0.027230721,0.0
