model,width,transform,player,best_epoch,validation_rmse,test_rmse,active_rmse,inactive_rmse,negative_fraction
checkpoint,64,zscore,1,0,,0.19130625,0.24814214,0.08671104,0.0848982785602504
plain_mse,64,zscore,1,55,0.2148990386567285,0.202726,0.26199883,0.09501289,0.04225352112676056
softplus_mse,64,zscore,1,50,0.21837441523964404,0.20458448,0.26661277,0.08846537,0.0
softplus_huber,64,zscore,1,82,0.21680183233143543,0.20177326,0.2623944,0.08917317,0.0
log_huber,64,zscore,1,206,0.22609100938571422,0.20828372,0.28277174,0.028210752,0.0
checkpoint,64,zscore,2,0,,0.17331167,0.22499771,0.07765535,0.060641627543035995
plain_mse,64,zscore,2,68,0.13203048480111218,0.18171288,0.23515731,0.08390198,0.06964006259780908
softplus_mse,64,zscore,2,18,0.13258898383175463,0.19113582,0.24782224,0.08669985,0.0
softplus_huber,64,zscore,2,27,0.13072054886497844,0.18859765,0.24658829,0.07836131,0.0
log_huber,64,zscore,2,105,0.13532788013065683,0.1992742,0.2696719,0.034842733,0.0
