model,player,split,samples,entries,raw_rmse,effective_rmse,skill_vs_zero,active_fraction,active_rmse,inactive_rmse,negative_prediction_fraction,gate_brier,gate_precision,gate_recall,gate_positive_rate
checkpoint_single_head,1,train,6478,19434,0.22444479,0.22444765,0.2148391,0.5295358649789029,0.2983339,0.08306872,0.08140372542965936,,,,
refit_single_head,1,train,6478,19434,0.23016454,0.2301673,0.1743123,0.5295358649789029,0.30738202,0.07911176,0.029021302871256562,,,,
hurdle_log_magnitude,1,train,6478,19434,0.23622854,0.23622999,0.13024163,0.5295358649789029,0.32130373,0.04916897,0.0,0.21478435,0.6696802436239055,0.6838013798464678,0.5407018627148297
checkpoint_single_head,1,validation,862,2586,0.21565846,0.21566099,0.13480216,0.5131477184841454,0.29186094,0.07581372,0.088553750966744,,,,
refit_single_head,1,validation,862,2586,0.2146485,0.21465135,0.14288425,0.5131477184841454,0.29029757,0.076253824,0.03634957463263728,,,,
hurdle_log_magnitude,1,validation,862,2586,0.21663086,0.21663214,0.1269924,0.5131477184841454,0.29902527,0.046347525,0.0,0.2175652,0.6436132674664785,0.6872645064054258,0.5479505027068832
checkpoint_single_head,1,test,852,2556,0.19130212,0.19130625,0.23348147,0.5379499217527387,0.24814214,0.08671104,0.0848982785602504,,,,
refit_single_head,1,test,852,2556,0.19948629,0.19948995,0.16649842,0.5379499217527387,0.26037657,0.0848355,0.04499217527386541,,,,
hurdle_log_magnitude,1,test,852,2556,0.20166063,0.20166245,0.1482454,0.5379499217527387,0.27031136,0.05426731,0.0,0.22592928,0.642501776830135,0.6574545454545454,0.5504694835680751
checkpoint_single_head,2,train,6478,19434,0.16214447,0.16214728,0.26589036,0.5158999691262736,0.21622464,0.06697988,0.05516105793969332,,,,
refit_single_head,2,train,6478,19434,0.16160727,0.1616107,0.27074105,0.5158999691262736,0.2131266,0.07446456,0.05387465267057734,,,,
hurdle_log_magnitude,2,train,6478,19434,0.1586458,0.15864742,0.29723912,0.5158999691262736,0.21544568,0.050253574,0.0,0.18198544,0.7412112583506736,0.6750448833034112,0.46984666049192136
checkpoint_single_head,2,validation,862,2586,0.1294629,0.12946591,0.20584643,0.5239752513534416,0.16696101,0.067285076,0.06419180201082754,,,,
refit_single_head,2,validation,862,2586,0.13046591,0.13047072,0.19347131,0.5239752513534416,0.16440511,0.07751272,0.057617942768754836,,,,
hurdle_log_magnitude,2,validation,862,2586,0.12767379,0.12767592,0.22765446,0.5239752513534416,0.16858174,0.054421946,0.0,0.20079058,0.6973270440251572,0.6546125461254613,0.4918793503480278
checkpoint_single_head,2,test,852,2556,0.17330843,0.17331167,0.31659687,0.5383411580594679,0.22499771,0.07765535,0.060641627543035995,,,,
refit_single_head,2,test,852,2556,0.18129127,0.18129566,0.2521816,0.5383411580594679,0.23561661,0.080369964,0.04773082942097027,,,,
hurdle_log_magnitude,2,test,852,2556,0.17493838,0.17494068,0.30368948,0.5383411580594679,0.23247264,0.057198312,0.0,0.18105048,0.7635914332784185,0.6736918604651163,0.4749608763693271
