model,player,split,samples,entries,raw_rmse,effective_rmse,skill_vs_zero,active_fraction,active_rmse,inactive_rmse,negative_prediction_fraction,gate_brier,gate_precision,gate_recall,gate_positive_rate
checkpoint_single_head,1,train,6478,19434,0.22444479,0.22444765,0.2148391,0.5295358649789029,0.2983339,0.08306872,0.08140372542965936,,,,
refit_single_head,1,train,6478,19434,0.23016454,0.2301673,0.1743123,0.5295358649789029,0.30738202,0.07911176,0.029021302871256562,,,,
hurdle_log_magnitude,1,train,6478,19434,0.2335007,0.23350221,0.15021211,0.5295358649789029,0.3164222,0.056551117,0.0,0.21399125,0.66767143933685,0.6887571664561267,0.5462591334774107
checkpoint_single_head,1,validation,862,2586,0.21565846,0.21566099,0.13480216,0.5131477184841454,0.29186094,0.07581372,0.088553750966744,,,,
refit_single_head,1,validation,862,2586,0.2146485,0.21465135,0.14288425,0.5131477184841454,0.29029757,0.076253824,0.03634957463263728,,,,
hurdle_log_magnitude,1,validation,862,2586,0.21399441,0.21399571,0.14811218,0.5131477184841454,0.2947642,0.04982954,0.0,0.21622731,0.6500351370344343,0.6970610399397137,0.5502706883217324
checkpoint_single_head,1,test,852,2556,0.19130212,0.19130625,0.23348147,0.5379499217527387,0.24814214,0.08671104,0.0848982785602504,,,,
refit_single_head,1,test,852,2556,0.19948629,0.19948995,0.16649842,0.5379499217527387,0.26037657,0.0848355,0.04499217527386541,,,,
hurdle_log_magnitude,1,test,852,2556,0.20145565,0.20145757,0.14997518,0.5379499217527387,0.26705,0.06932955,0.0,0.22615385,0.6356696738376127,0.6661818181818182,0.5637715179968701
checkpoint_single_head,2,train,6478,19434,0.16214447,0.16214728,0.26589036,0.5158999691262736,0.21622464,0.06697988,0.05516105793969332,,,,
refit_single_head,2,train,6478,19434,0.16160727,0.1616107,0.27074105,0.5158999691262736,0.2131266,0.07446456,0.05387465267057734,,,,
hurdle_log_magnitude,2,train,6478,19434,0.16013804,0.16013977,0.28395557,0.5158999691262736,0.21749857,0.05060613,0.0,0.18966529,0.7150307708355064,0.6837223219628965,0.4933106926005969
checkpoint_single_head,2,validation,862,2586,0.1294629,0.12946591,0.20584643,0.5239752513534416,0.16696101,0.067285076,0.06419180201082754,,,,
refit_single_head,2,validation,862,2586,0.13046591,0.13047072,0.19347131,0.5239752513534416,0.16440511,0.07751272,0.057617942768754836,,,,
hurdle_log_magnitude,2,validation,862,2586,0.1296109,0.12961313,0.20403922,0.5239752513534416,0.17069833,0.05673052,0.0,0.20665312,0.6764264264264265,0.6649446494464945,0.5150812064965197
checkpoint_single_head,2,test,852,2556,0.17330843,0.17331167,0.31659687,0.5383411580594679,0.22499771,0.07765535,0.060641627543035995,,,,
refit_single_head,2,test,852,2556,0.18129127,0.18129566,0.2521816,0.5383411580594679,0.23561661,0.080369964,0.04773082942097027,,,,
hurdle_log_magnitude,2,test,852,2556,0.17920867,0.17921089,0.26928157,0.5383411580594679,0.23896785,0.054559197,0.0,0.18781525,0.7339158061953932,0.6715116279069767,0.492566510172144
