name,source,transform,scale,threshold,exponent,clip,reach_power,regret_weight,strategy_weight,statistic_weight,search_player,runs,reward,stderr_reward,mean_steps,detection_rate,target_escaped_rate,observer_lost_rate,queries,max_depth,max_steps,search_epsilon,action_epsilon,elapsed_seconds,delta_vs_value_only
value_only,baseline,raw,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,1,32,14.397160977291168,3.0632864705462195,36.4375,0.84375,0.0,0.71875,100,5,50,0.1,0.0,7.656418333,0.0
value_only,baseline,raw,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,2,32,-10.09288797047515,1.4096498845946106,42.15625,0.75,0.3125,0.0,100,5,50,0.1,0.0,7.323174791,0.0
coupled_full_scale10,baseline,raw,10.0,0.0,1.0,,1.0,1.0,1.0,1.0,1,32,16.402261960906834,2.8345980387489114,36.28125,0.84375,0.0,0.75,100,5,50,0.1,0.0,8.293011416,2.005100983615666
coupled_full_scale10,baseline,raw,10.0,0.0,1.0,,1.0,1.0,1.0,1.0,2,32,-9.859423445026918,1.0821790335968335,39.78125,0.71875,0.40625,0.0,100,5,50,0.1,0.0,10.821572375,0.23346452544823215
baseline_raw_s2.5,baseline,raw,2.5,0.0,1.0,,1.0,1.0,0.0,0.0,1,32,22.13362146151747,3.120790463304384,41.9375,0.875,0.0,0.59375,100,5,50,0.1,0.0,11.353037375,7.736460484226303
baseline_raw_s2.5,baseline,raw,2.5,0.0,1.0,,1.0,1.0,0.0,0.0,2,32,-8.924769729321449,0.9156130078129232,39.8125,0.625,0.4375,0.0,100,5,50,0.1,0.0,9.979734875,1.1681182411537012
baseline_raw_s5.0,baseline,raw,5.0,0.0,1.0,,1.0,1.0,0.0,0.0,1,32,17.37643534018649,2.9093748124686796,38.21875,0.75,0.0,0.53125,100,5,50,0.1,0.0,8.539873667,2.979274362895321
baseline_raw_s5.0,baseline,raw,5.0,0.0,1.0,,1.0,1.0,0.0,0.0,2,32,-9.008987900030238,0.9804293878666914,40.09375,0.625,0.40625,0.0,100,5,50,0.1,0.0,9.024288417,1.083900070444912
baseline_raw_s10.0,baseline,raw,10.0,0.0,1.0,,1.0,1.0,0.0,0.0,1,32,19.974059058188654,3.898656279328674,38.53125,0.78125,0.0,0.625,100,5,50,0.1,0.0,8.715895167,5.576898080897486
baseline_raw_s10.0,baseline,raw,10.0,0.0,1.0,,1.0,1.0,0.0,0.0,2,32,-9.54621565389132,1.1814391569929568,39.375,0.6875,0.4375,0.0,100,5,50,0.1,0.0,8.800895208,0.5466723165838303
